pivot,derivation,similarity,category,affix
nokturn,nokturnowy,0.9289993,N:ADJ,-owy
miłość,miłostka,0.7809901,N:N,-ka
wróżbita,wróżbitka,0.9440443,N:N,-ka
dyktator,dyktatorka,0.9100663,N:N,-ka
majonez,majonezowy,0.7767166,N:ADJ,-owy
majonez,majonezik,0.9010059,N:N,-ik
Chakas,chakaski,0.7731662,N:ADJ,-ski
łza,łzowy,0.5255666,N:ADJ,-owy
sito,sitowy,0.77451414,N:ADJ,-owy
skroń,skroniowy,0.7627599,N:ADJ,-owy
łokieć,łokciowy,0.7700237,N:ADJ,-owy
żuchwa,żuchwowy,0.8905902,N:ADJ,-owy
szczęka,szczękowy,0.8272512,N:ADJ,-owy
weekendowy,weekendowo,0.87200224,ADJ:ADV,-o
autostop,autostopowy,0.8555437,N:ADJ,-owy
snob,snobka,0.8975905,N:N,-ka
sorbet,sorbetowy,0.8468797,N:ADJ,-owy
miednica,miedniczny,0.7931852,N:ADJ,-ny
miednica,miednicowy,0.7872256,N:ADJ,-owy
ramię,ramienny,0.6385062,N:ADJ,-ny
pierś,piersiowy,0.6917245,N:ADJ,-owy
łono,łonowy,0.8174416,N:ADJ,-owy
tęczować,tęczowanie,0.86795765,V:N,-anie
sojusznik,sojuszniczka,0.9357594,N:N,-ka
Baszkir,Baszkirka,0.92383385,N:N,-ka
srom,sromowy,0.6493962,N:ADJ,-owy
okółek,okółkowy,0.904479,N:ADJ,-owy
oś,ośka,0.6651829,N:N,-ka
szczątek,szczątkowy,0.64109606,N:ADJ,-owy
starczowzroczny,starczowzroczność,0.8744137,ADJ:N,-ość
kotwica,kotwiczka,0.81049955,N:N,-ka
efektowny,efektownie,0.9156887,ADJ:ADV,-ie
strój,strojny,0.75511545,N:ADJ,-ny
strojny,strojność,0.8359059,ADJ:N,-ość
widowisko,widowiskowy,0.8389783,N:ADJ,-owy
widowiskowy,widowiskowo,0.897774,ADJ:ADV,-o
kant,kantować,0.7686752,N:V,-ować
łapczywy,łapczywie,0.63760865,ADJ:ADV,-ie
łapczywy,łapczywość,0.8977579,ADJ:N,-ość
zachłanny,zachłannie,0.9070999,ADJ:ADV,-ie
zachłanny,zachłanność,0.85315895,ADJ:N,-ość
pożądliwy,pożądliwie,0.87646574,ADJ:ADV,-ie
pożądliwy,pożądliwość,0.84415007,ADJ:N,-ość
zbrodniczy,zbrodniczo,0.8862162,ADJ:ADV,-o
zbrodniczy,zbrodniczość,0.83768886,ADJ:N,-ość
tweet,tweetować,0.78603756,N:V,-ować
ferma,fermowy,0.84774363,N:ADJ,-owy
grać,zagrać,0.9124882,V:V,za-
liczyć,zaliczyć,0.814099,V:V,za-
oszczędzić,zaoszczędzić,0.97177154,V:V,za-
oszczędzać,zaoszczędzać,0.6505673,V:V,za-
sugerować,zasugerować,0.9110951,V:V,za-
podpowiedzieć,podpowiadać,0.7960337,V:V,-ać
luksus,luksusowy,0.9409876,N:ADJ,-owy
luksusowy,luksusowo,0.64177316,ADJ:ADV,-o
fryzjer,fryzjerski,0.75517595,N:ADJ,-ski
fryzjer,fryzjerstwo,0.73595864,N:N,-stwo
natarczywy,natarczywie,0.7831753,ADJ:ADV,-ie
moc,mocować,0.77065265,N:V,-ować
kołysać,zakołysać,0.7068352,V:V,za-
haczyć,zahaczyć,0.65467715,V:V,za-
podeprzeć,podpierać,0.74652696,V:V,-ać
doczepić,doczepka,0.7795522,V:N,-ka
złośliwy,złośliwość,0.72409767,ADJ:N,-ość
miłościwy,miłościwie,0.89256454,ADJ:ADV,-ie
natarczywy,natarczywość,0.8839265,ADJ:N,-ość
zdrapać,zdrapka,0.79356587,V:N,-ka
czepić,zaczepić,0.72708297,V:V,za-
czepiać,zaczepiać,0.70736736,V:V,za-
przemiły,przemiło,0.8814544,ADJ:ADV,-o
małoletni,małoletniość,0.873276,ADJ:N,-ość
Czeczen,Czeczenka,0.90434825,N:N,-ka
przynależny,przynależność,0.6955271,ADJ:N,-ość
jurysdykcja,jurysdykcyjny,0.8264094,N:ADJ,-ny
jurysdykcyjny,jurysdykcyjnie,0.92623407,ADJ:ADV,-ie
zrzeszyć,zrzeszenie,0.7474683,V:N,-enie
bezużyteczny,bezużytecznie,0.7352867,ADJ:ADV,-ie
bezużyteczny,bezużyteczność,0.71881515,ADJ:N,-ość
nasycić,nasycać,0.9263261,V:V,-ać
użyteczny,użytecznie,0.88621134,ADJ:ADV,-ie
zaspokoić,zaspokajać,0.711084,V:V,-ać
użyteczny,użyteczność,0.8179404,ADJ:N,-ość
drzwi,drzwiowy,0.80877244,N:ADJ,-owy
floret,floretowy,0.7911813,N:ADJ,-owy
florecista,florecistka,0.91979444,N:N,-ka
wygiąć,wyginać,0.9167184,V:V,-ać
zgiąć,zginać,0.88147885,V:V,-ać
ugiąć,uginać,0.864679,V:V,-ać
Nicea,nicejski,0.5407577,N:ADJ,-ski
podgiąć,podginać,0.9071572,V:V,-ać
ginąć,zaginąć,0.70016867,V:V,za-
myśliwiec,myśliwski,0.6461537,N:ADJ,-ski
dobić,dobijać,0.8495171,V:V,-ać
wbić,wbijać,0.8862883,V:V,-ać
degustacja,degustacyjny,0.88597107,N:ADJ,-ny
kończyć,zakończyć,0.77411854,V:V,za-
koniec,końcowy,0.789814,N:ADJ,-owy
piana,pianka,0.9279233,N:N,-ka
gulasz,gulaszowy,0.9012268,N:ADJ,-owy
Rom,Romka,0.761994,N:N,-ka
żmija,żmijka,0.95597607,N:N,-ka
biszkopt,biszkoptowy,0.9002892,N:ADJ,-owy
biszkopt,biszkopcik,0.9300903,N:N,-ik
przerzucić,przerzutka,0.57737076,V:N,-ka
zębatka,zębatkowy,0.88685787,N:ADJ,-owy
niania,niańka,0.74099624,N:N,-ka
wielokrotny,wielokrotnie,0.693247,N:ADV,-ie
powiedzieć,zapowiedzieć,0.7454006,V:V,za-
powiadać,zapowiadać,0.72276235,V:V,za-
telefoniczny,telefonicznie,0.93378586,ADJ:ADV,-ie
tłum,tłumny,0.79141736,N:ADJ,-ny
tłumny,tłumnie,0.8931378,ADJ:ADV,-ie
liczny,licznie,0.68992317,ADJ:ADV,-ie
sarkofag,sarkofagowy,0.9305761,N:ADJ,-owy
migrena,migrenowy,0.8039708,N:ADJ,-owy
skoczyć,zaskoczyć,0.8684218,V:V,za-
męczyć,zamęczyć,0.8795087,V:V,za-
psychiczny,psychicznie,0.70310944,ADJ:ADV,-ie
morela,morelka,0.8670785,N:N,-ka
odruchowy,odruchowo,0.86835134,ADJ:ADV,-o
odruch,odruchowy,0.72879577,N:ADJ,-owy
czoło,czołowy,0.6782874,N:ADJ,-owy
czołowy,czołowo,0.789351,ADJ:ADV,-o
skład,składować,0.7396597,N:V,-ować
przesyłać,przesyłka,0.7023025,V:N,-ka
łączny,łączność,0.8082533,ADJ:N,-ość
słać,zasłać,0.7744522,V:V,za-
czajnik,czajniczek,0.5917654,N:N,-ek
skandal,skandalik,0.73412174,N:N,-ik
uparty,upartość,0.6158118,ADJ:N,-ość
zestawić,zestawienie,0.6645068,V:N,-enie
dama,damski,0.65246147,N:ADJ,-ski
tłoczyć,zatłoczyć,0.85892147,V:V,za-
ruchliwy,ruchliwość,0.8332392,ADJ:N,-ość
bolesny,boleśnie,0.69486576,ADJ:ADV,-ie
pospieszny,pospiesznie,0.8049821,ADJ:ADV,-ie
trudnić,zatrudnić,0.6560159,V:V,za-
bezskuteczny,bezskutecznie,0.69422024,ADJ:ADV,-ie
bezskuteczny,bezskuteczność,0.8763812,ADJ:N,-ość
gubić,zagubić,0.7821797,V:V,za-
rejon,rejonowy,0.81029373,N:ADJ,-owy
skarb,skarbowy,0.80815053,N:ADJ,-owy
konsument,konsumentka,0.87045205,N:N,-ka
organizacja,organizacyjny,0.76408064,N:ADJ,-ny
dopełnić,dopełniać,0.78475636,V:V,-ać
kurator,kuratorski,0.79788136,N:ADJ,-ski
zawiesić,zawieszenie,0.911728,V:N,-enie
państwo,państwowy,0.5700035,N:ADJ,-owy
oświata,oświatowy,0.89582306,N:ADJ,-owy
zakon,zakonny,0.83255047,N:ADJ,-ny
karalny,karalność,0.82644045,ADJ:N,-ość
udowodnić,udowadniać,0.7335293,V:V,-ać
wał,wałek,0.7435209,N:N,-ek
niestabilny,niestabilnie,0.87419856,ADJ:ADV,-ie
niestabilny,niestabilność,0.8364381,ADJ:N,-ość
ostateczny,ostateczność,0.6614482,ADJ:N,-ość
wychowawczy,wychowawczo,0.86349684,ADJ:ADV,-o
kiosk,kioskowy,0.8717793,N:ADJ,-owy
kioskarz,kioskarka,0.88270307,N:N,-ka
domino,dominowy,0.821198,N:ADJ,-owy
juror,jurorski,0.8333817,N:ADJ,-ski
obelisk,obeliskowy,0.9173057,N:ADJ,-owy
tłumok,tłumoczek,0.78725386,N:N,-ek
bandana,bandanka,0.9251416,N:N,-ka
pieniądz,pieniążek,0.67639023,N:N,-ek
moneta,monetka,0.7945893,N:N,-ka
lampa,lampka,0.7689598,N:N,-ka
lampka,lampeczka,0.9398058,N:N,-ka
grzejnik,grzejniczek,0.7437052,N:N,-ek
Palmyrena,palmyreński,0.6333955,N:ADJ,-ski
wyrozumiały,wyrozumiałość,0.7839955,ADJ:N,-ość
lampion,lampionik,0.90423137,N:N,-ik
lampion,lampionowy,0.86819506,N:ADJ,-owy
pupil,pupilek,0.9159669,N:N,-ek
pupil,pupilka,0.903093,N:N,-ka
dyliżans,dyliżansowy,0.8787332,N:ADJ,-owy
interesować,zainteresować,0.95373374,V:V,za-
pochopny,pochopnie,0.874648,ADJ:ADV,-ie
wniosek,wnioskować,0.7395472,N:V,-ować
uczucie,uczuciowy,0.55486137,N:ADJ,-owy
