pivot,derivation,similarity,category,affix
nieżyczliwy,nieżyczliwie,0.97534513,ADJ:ADV,-ie
samokrytyczny,samokrytyczność,0.88807404,ADJ:N,-ość
samokrytyczny,samokrytycznie,0.93272376,ADJ:ADV,-ie
składka,składkowy,0.94876,N:ADJ,-owy
ławnik,ławniczka,0.9633902,N:N,-ka
mezzosopranista,mezzosopranistka,0.9556348,N:N,-ka
urządzać,urządzanie,0.91811806,V:N,-anie
natychmiastowy,natychmiastowość,0.9146942,ADJ:N,-ość
natychmiastowy,natychmiastowo,0.947092,ADJ:ADV,-o
skrobać,skrobanie,0.9558349,V:N,-anie
obnażać,obnażanie,0.9485118,V:N,-anie
obnażać,obnażenie,0.9246622,V:N,-enie
inwentaryzować,inwentaryzowanie,0.92667055,V:N,-anie
kartoflak,kartoflaczek,0.95738804,N:N,-ek
pośrednik,pośredniczka,0.96026576,N:N,-ka
histeryczny,histerycznie,0.95110816,ADJ:ADV,-ie
pryncypialny,pryncypialność,0.9238095,ADJ:N,-ość
pryncypialny,pryncypialnie,0.95895255,ADJ:ADV,-ie
poncz,ponczowy,0.9289557,N:ADJ,-owy
samarytanin,samarytanka,0.9174169,N:N,-ka
samarytanin,samarytański,0.87573177,N:ADJ,-ski
kontrkulturowy,kontrkulturowość,0.92727834,ADJ:N,-ość
brukarz,brukarstwo,0.9234537,N:N,-stwo
brukarz,brukarka,0.9549959,N:N,-ka
brukarz,brukarski,0.9569169,N:ADJ,-ski
Flamand,Flamandka,0.92146116,N:N,-ka
latentny,latentnie,0.95174104,ADJ:ADV,-ie
ofsajd,ofsajdowy,0.917616,N:ADJ,-owy
napomknąć,napomknienie,0.9162039,V:N,-enie
sygnalizacja,sygnalizacyjny,0.90165424,N:ADJ,-ny
podłączać,podłączanie,0.94770825,V:N,-anie
butwieć,butwienie,0.9609718,V:N,-enie
maszerować,maszerowanie,0.9426296,V:N,-anie
mentalista,mentalistka,0.9499949,N:N,-ka
współliniowy,współliniowość,0.93801683,ADJ:N,-ość
charyzmatyczny,charyzmatyczność,0.9286154,ADJ:N,-ość
charyzmatyczny,charyzmatycznie,0.9482986,ADJ:ADV,-ie
komandos,komandoska,0.935337,N:N,-ka
rekompensować,rekompensowanie,0.92582136,V:N,-anie
Renia,Reńka,0.8769601,N:N,-ka
czwóra,czwórka,0.9694335,N:N,-ka
obrotny,obrotnik,0.9493119,ADJ:N,-ik
obrotny,obrotowy,0.9712055,ADJ:ADJ,-owy
sobór,soborowy,0.93269956,N:ADJ,-owy
prowincjał,prowincjałka,0.9680331,N:N,-ka
prowincjał,prowincjalny,0.9666478,N:ADJ,-ny
soboli,sobolowy,0.9179887,ADJ:ADJ,-owy
wyż,wyżowy,0.9484221,N:ADJ,-owy
wyż,wyżny,0.88474536,N:ADJ,-ny
kurialista,kurialistka,0.96385384,N:N,-ka
predykatyw,predykatywny,0.9579807,N:ADJ,-ny
humorystyczny,humorystyczność,0.8837293,ADJ:N,-ość
humorystyczny,humorystycznie,0.90345955,ADJ:ADV,-ie
kpić,kpienie,0.9304739,V:N,-enie
bogobojny,bogobojnie,0.958629,ADJ:ADV,-ie
Chaldejczyk,Chaldejka,0.918504,N:N,-ka
pradawny,pradawność,0.9164284,ADJ:N,-ość
pradawny,pradawno,0.9340131,ADJ:ADV,-o
pradawny,pradawnie,0.9062573,ADJ:ADV,-ie
hetycki,hetyckość,0.9360699,ADJ:N,-ość
hetycki,hetycko,0.97771436,ADJ:ADV,-o
krwawnik,krwawnikowy,0.9643922,N:ADJ,-owy
Mykeńczyk,Mykenka,0.90256333,N:N,-ka
tyrystor,tyrystorowy,0.91401076,N:ADJ,-owy
tyrozyna,tyrozynowy,0.96381146,N:ADJ,-owy
wedutysta,wedutystka,0.90810627,N:N,-ka
osełka,osełkowy,0.9378485,N:ADJ,-owy
komunikant,komunikantka,0.9782645,N:N,-ka
kapituła,kapitulny,0.9017271,N:ADJ,-ny
sodalicja,sodalicyjny,0.9417062,N:ADJ,-ny
zinwentaryzować,zinwentaryzowanie,0.90924525,V:N,-anie
przyjeżdżać,przyjeżdżanie,0.9516026,V:N,-anie
freeride,freeridowy,0.9216595,N:ADJ,-owy
freerider,freeriderka,0.95618004,N:N,-ka
Dydak,Dydakowy,0.8912628,N:ADJ,-owy
ochrzcić,ochrzczenie,0.8965765,V:N,-enie
chrzcić,chrzczenie,0.89676744,V:N,-enie
obserwowanie,zaobserwowanie,0.97804886,N:N,za-
chrześniak,chrześniaczek,0.9676796,N:N,-ek
chrześniak,chrześniaczka,0.9675904,N:N,-ka
Samarytanin,Samarytanka,0.96143,N:N,-ka
okultystyczny,okultystyczność,0.8826351,ADJ:N,-ość
okultystyczny,okultystycznie,0.8834695,ADJ:ADV,-ie
hektolitr,hektolitrowy,0.9401697,N:ADJ,-owy
kądziel,kądzielny,0.97729534,N:ADJ,-ny
kądziel,kądzielowy,0.9565153,N:ADJ,-owy
egzorcyzm,egzorcyzmować,0.90742886,N:V,-ować
egzorcyzmować,egzorcyzmowanie,0.9211208,V:N,-anie
litania,litanijny,0.94571203,N:ADJ,-ny
katechizacja,katechizacyjny,0.95007163,N:ADJ,-ny
anglofilski,anglofilskość,0.94817764,ADJ:N,-ość
anglofilski,anglofilsko,0.9853834,ADJ:ADV,-o
ornat,ornacik,0.90696496,N:N,-ik
ornat,ornatowy,0.9078963,N:ADJ,-owy
depopulacja,depopulacyjny,0.92621595,N:ADJ,-ny
prymicje,prymicyjny,0.91855913,N:ADJ,-ny
świtanie,zaświtanie,0.9057051,N:N,za-
Perpetua,Perpetuowy,0.92093176,N:ADJ,-owy
kiełek,kiełkowy,0.8985908,N:ADJ,-owy
Witosław,Witosławowy,0.9067282,N:ADJ,-owy
witosławianin,witosławianka,0.94473225,N:N,-ka
Józefowy,Józefowo,0.9335741,ADJ:N,-o
józefinizm,józefiński,0.861377,N:ADJ,-ski
robaczek,robaczkowy,0.9599077,N:ADJ,-owy
kadzić,kadzenie,0.9330415,V:N,-enie
wermut,wermucik,0.9451367,N:N,-ik
antyrosyjski,antyrosyjskość,0.9253573,ADJ:N,-ość
infografika,infograficzny,0.91998893,N:ADJ,-ny
starszak,starszaczek,0.94113725,N:N,-ek
