pivot,derivation,similarity,category,affix
usar,usable,0.8061422,V:ADJ,-able
perico,periquito,0.8060517,ADJ:N,-ito
sala,salón,0.6881652,N:N,-ón
ayer,anteayer,0.76782113,N:ADV,ante-
pecado,pecadillo,0.79944396,N:N,-illo
bocado,bocadillo,0.8174025,N:N,-illo
zumbar,zumbido,0.769343,V:N,-ido
zanca,zancudo,0.8192942,N:ADJ,-udo
zapato,zapatería,0.8193541,N:N,-ería
zapato,zapatero,0.8341815,N:ADJ,-ero
zapato,zapatilla,0.7734314,N:N,-illa
zigzag,zigzaguear,0.91068834,N:V,-ear
zorro,zorrillo,0.67745095,ADJ:N,-illo
zoología,zoológico,0.8979501,N:ADJ,-ico
vaca,vaquero,0.51710904,N:N,-ero
vaca,vaquera,0.52735674,N:N,-era
Yucatán,yucateco,0.85761887,N:ADJ,-eco
muro,mural,0.8675128,N:ADJ,-al
útil,útilmente,0.85494906,ADJ:ADV,-mente
útil,utilizar,0.5929798,ADJ:V,-izar
utilizar,utilización,0.8942765,V:N,-ción
uso,usar,0.575568,N:V,-ar
mentir,mentiroso,0.84563786,V:ADJ,-oso
Urano,uranio,0.62422186,N:N,-io
urbanizar,urbanización,0.9375079,V:N,-ción
urgente,urgentemente,0.76869464,ADJ:ADV,-mente
Uganda,ugandés,0.80980635,N:ADJ,-és
ulterior,ulteriormente,0.8699305,ADJ:ADV,-mente
último,últimamente,0.82202005,ADJ:ADV,-mente
mar,ultramar,0.7309994,N:N,ultra-
unánime,unánimemente,0.9132134,ADJ:ADV,-mente
universal,universalmente,0.8139008,ADJ:ADV,-mente
berilo,berilio,0.9014165,N:N,-io
Titán,titanio,0.6361713,ADJ:N,-io
litografía,cromo,0.7470358,N:N,cromo-
barita,bario,0.7104475,N:N,-io
Neptuno,neptunio,0.8004167,N:N,-io
Plutón,plutonio,0.7855891,N:N,-io
América,americio,0.56654906,N:N,-io
California,californio,0.7163649,N:N,-io
fer,afer,0.77366346,N:N,a-
cabo,cabal,0.7618303,N:ADJ,-al
proteína,proteinuria,0.71240646,N:N,-uria
posta,postal,0.78298694,N:ADJ,-al
macho,machismo,0.61048037,ADJ:N,-ismo
bacteria,bacterial,0.54478604,N:ADJ,-al
vaca,vacuno,0.552527,N:ADJ,-uno
vacar,vacante,0.681412,V:ADJ,-ante
abrir,reabrir,0.89021224,V:V,re-
alzar,realzar,0.7862515,V:V,re-
civilizar,civilización,0.91000414,V:N,-ción
reproducir,reproducible,0.8673299,V:ADJ,-ible
cubrir,descubrir,0.75121903,V:V,des-
caballo,caballar,0.7910542,N:ADJ,-ar
saber,sabedor,0.76853824,N:ADJ,-dor
sabio,sabiamente,0.7577996,N:ADV,-mente
sabor,saborear,0.8625158,N:V,-ear
jabón,jabonar,0.8665358,N:V,-ar
jabón,jabonoso,0.8997517,N:ADJ,-oso
jadear,jadeante,0.7903092,V:ADJ,-ante
hala,jalear,0.81845474,V:V,-ear
Jamaica,jamaicano,0.8569838,N:ADJ,-ano
Jamaica,jamaiquino,0.8545665,N:N,-ino
jarana,jaranear,0.68167365,N:V,-ear
jardín,jardinero,0.9302247,N:N,-ero
jarro,jarrón,0.8295244,N:N,-ón
jinete,jinetear,0.8793908,N:V,-ar
jocoso,jocosamente,0.74650395,ADJ:ADV,-mente
jornal,jornalero,0.92252445,N:N,-ero
joroba,jorobado,0.69055575,N:ADJ,-ado
jovial,jovialmente,0.83299655,ADJ:ADV,-mente
joya,joyería,0.72337955,N:N,-ería
joya,joyero,0.71178967,N:N,-ero
Juan,juanete,0.66369855,N:N,-ete
judicial,judicialmente,0.81475866,ADJ:ADV,-mente
juerga,juerguista,0.7192666,N:N,-ista
jugar,jugador,0.52478844,V:N,-dor
jugar,jugarreta,0.8498725,V:N,-eta
jugo,jugoso,0.80581,N:ADJ,-oso
jugar,juguete,0.7817944,V:N,-ete
juguete,juguetear,0.8918913,N:V,-ar
juguete,juguetería,0.8636608,N:N,-ería
juguetón,juguetonamente,0.8499357,ADJ:ADV,-mente
juicio,juicioso,0.8323107,N:ADJ,-oso
junto,juntamente,0.4483497,ADJ:ADV,-mente
justo,justamente,0.74340636,ADJ:ADV,-mente
justicia,justiciero,0.831916,N:ADJ,-ero
justificar,justificación,0.8911015,V:N,-ción
joven,juvenil,0.67013115,ADJ:ADJ,-il
quebrantar,quebrantamiento,0.8296071,V:N,-miento
ñoño,ñoñería,0.8444066,ADJ:N,-ería
quejar,quejido,0.82077265,V:N,-ido
burla,burlar,0.8262804,N:V,-ar
verdad,verdadero,0.6972827,N:ADJ,-ero
testículo,testicular,0.833063,N:ADJ,-ar
quemar,quemador,0.7680199,V:ADJ,-dor
quemar,quemadura,0.7315758,V:N,-dura
quemar,quemazón,0.7801785,V:N,-zón
queso,quesería,0.64956194,N:N,-ería
Quijote,quijotesco,0.59626836,N:ADJ,-sco
social,antisocial,0.8603189,ADJ:ADJ,anti-
φαίνω,quirófano,0.5910052,N:N,quiro-
quirúrgico,quirúrgicamente,0.87231034,ADJ:ADV,-mente
ñoño,ñoñear,0.78951865,ADJ:V,-ear
onda,microonda,0.54832876,N:N,micro-
falta,faltar,0.59514487,N:V,-ar
polar,circumpolar,0.7011409,ADJ:ADJ,circun-
tutor,tutorial,0.8497979,N:ADJ,-ial
moro,moreno,0.7785476,N:ADJ,-eno
bacterial,antibacterial,0.80960006,ADJ:ADJ,anti-
secretario,secretarial,0.7863605,N:ADJ,-al
carreta,carretera,0.78005344,N:N,-era
frente,frontera,0.60173535,N:N,-era
triste,tristeza,0.6331075,ADJ:N,-eza
legal,ilegal,0.7253966,ADJ:ADJ,in-
Perú,peruano,0.6331387,N:ADJ,-ano
elector,electoral,0.8443071,N:ADJ,-al
dimensión,dimensional,0.6150283,N:ADJ,-al
cérvix,cervical,0.81920123,N:ADJ,-al
península,peninsular,0.7611818,N:ADJ,-ar
inglés,inglesa,0.81457865,ADJ:N,-a
flor,florido,0.67188567,N:ADJ,-ido
color,colorado,0.4307233,N:ADJ,-ado
lateral,unilateral,0.695354,ADJ:ADJ,uni-
recurso,recursivo,0.7934098,N:ADJ,-ivo
unir,reunir,0.8448724,V:V,re-
unión,reunión,0.7377988,N:N,re-
arteria,arterial,0.8216258,N:ADJ,-al
estudio,estudiar,0.7566935,N:V,-ar
América,americano,0.63255155,N:ADJ,-ano
taco,taquería,0.8126058,N:N,-ería
puerto,aeropuerto,0.7486845,N:N,aero-
fijo,fijar,0.808104,V:V,-ar
registro,registrar,0.793079,N:V,-ar
paso,pasear,0.61788046,N:V,-ear
genital,urogenital,0.902669,ADJ:ADJ,uro-
coloquio,coloquial,0.8257794,N:ADJ,-al
guerra,guerrilla,0.59640944,N:N,-illa
amar,amante,0.56760144,ADJ:ADJ,-ante
papal,antipapal,0.85673726,ADJ:ADJ,anti-
neutrino,antineutrino,0.9347887,N:N,anti-
peritoneo,peritonitis,0.92417186,N:N,-itis
Felipe,filipino,0.7041387,N:ADJ,-ino
στάσις,homeostasis,0.6364811,N:N,homeo-
luchar,luchador,0.7878328,V:ADJ,-dor
territorio,territorial,0.84049284,N:ADJ,-al
embarcar,embarcadero,0.86035526,V:N,-dero
acerbo,acerbamente,0.78267646,ADJ:ADV,-mente
tetrágono,tetragonal,0.86606526,N:ADJ,-al
estrena,estrenar,0.86652553,N:V,-ar
zodiaco,zodiacal,0.92931247,N:ADJ,-al
paja,pajilla,0.7933127,N:N,-illa
labrar,labrador,0.88589126,V:N,-dor
permeable,impermeable,0.90448034,ADJ:ADJ,in-
torta,tortería,0.7880073,N:N,-ería
camisa,camisería,0.85050434,N:N,-ería
pastel,pastelería,0.79317874,N:N,-ería
papel,papelería,0.82573235,N:N,-ería
tortilla,tortillería,0.7902966,N:N,-ería
Finlandia,finlandés,0.81095266,N:ADJ,-és
honor,honorable,0.8561874,N:ADJ,-able
esperar,esperanza,0.8074947,V:N,-anza
clerical,anticlerical,0.8963615,ADJ:ADJ,anti-
macho,machete,0.7276726,N:N,-ete
lateral,bilateral,0.6978646,ADJ:ADJ,bi-
Perú,peruviano,0.61765903,N:ADJ,-iano
viral,antiviral,0.81819785,ADJ:ADJ,anti-
virus,antivirus,0.5938354,N:N,anti-
elemento,elemental,0.8573716,N:ADJ,-al
brujo,brujería,0.90608674,N:N,-ería
dispensable,indispensable,0.93625,ADJ:ADJ,in-
normal,paranormal,0.50345904,ADJ:ADJ,para-
agradar,agradable,0.87369794,V:ADJ,-able
