pivot,derivation,similarity,category,affix
suchy,sucho,0.35303488640056835,ADJ:ADV,-o
mina,minka,0.4192470566254608,N:N,-ka
zad,zadek,0.3767477720616166,N:N,-ek
pacnąć,packa,0.2202760523147227,V:N,-ka
lotnisko,lotniskowiec,0.3714014995338093,N:N,-owiec
skupić,skupina,0.12385777242053941,V:N,-ina
lizać,Polizei,0.13352787982296233,V:V,po-
misa,miska,0.5267621247474779,N:N,-ka
pszczoła,pszczółka,0.4243563689233124,N:N,-ka
ciasto,ciastko,0.6650982550479491,N:N,-ko
orzeł,orli,0.21895354903586406,N:ADJ,-i
osa,osi,0.12045902126954022,N:ADJ,-i
elf,elfi,0.3517551473841234,N:ADJ,-i
muł,muli,0.19893401728066418,N:ADJ,-i
pomarańcza,pomarańczowy,0.4104350793860915,N:ADJ,-owy
kulturysta,kulturystka,0.5825191109963043,N:N,-ka
gonić,goniec,0.12507672483062848,V:N,-ec
skok,skoczek,0.45946028170986386,N:N,-ek
Portugalia,Portugalka,0.41266753674461865,N:N,-ka
mocz,mocznik,0.4367195843525088,N:N,-nik
Jan,Janik,0.33652299577366407,N:N,-ik
lot,samolot,0.599171055431902,N:N,samo-
baba,babcia,0.48729276697349755,N:N,-cia
dziad,dziadek,0.6921329885280081,N:N,-ek
historia,prehistoria,0.5461214059800781,N:N,pre-
siatka,siatkówka,0.377379853084683,N:N,-ówka
grafia,kryptografia,0.31230742870914996,N:N,krypto-
analizować,analizator,0.22697003282025918,V:N,-ator
mózgowie,śródmózgowie,0.5140037386927108,N:N,śród-
Lach,laski,0.1410192905759814,N:ADJ,-ski
grupa,podgrupa,0.5707469826712199,N:N,pod-
kombinować,kombinator,0.1557532325525579,V:N,-ator
demon,demonologia,0.2818880507244844,N:N,-logia
Ryga,ryski,0.28757882716121475,N:ADJ,-ski
etan,etanol,0.3680311140789513,N:N,-ol
uczyć,samouk,0.2737588383931222,V:N,samo-
reporter,reporterka,0.6435353996275278,N:N,-ka
Bruksela,brukselka,0.21169653342334005,N:N,-ka
fiolet,fioletowy,0.5668327543428453,N:ADJ,-owy
purpura,purpurowy,0.4917899481497985,N:ADJ,-owy
beż,beżowy,0.43243522895783437,N:ADJ,-owy
turkus,turkusowy,0.3959867730066575,N:ADJ,-owy
granat,granatowy,0.45514593273687454,N:ADJ,-owy
błękit,błękitny,0.4746106610302946,N:ADJ,-ny
kropka,dwukropek,0.36309568028511985,N:N,dwu-
okrężny,okrężnica,0.3093619272414374,ADJ:N,-ica
przecinać,przecinek,0.13921382495690693,V:N,-ek
indyk,indyczka,0.46174359757566885,N:N,-ka
użycie,nadużycie,0.38577486783816095,N:N,nad-
kot,kotek,0.6439093889406619,N:N,-ek
kot,kocica,0.4315657496579107,N:N,-ica
słoń,słonica,0.41114752718435876,N:N,-ica
rzeczowy,rzeczownik,0.2155725069093647,ADJ:N,-nik
mały,malutki,0.7135676513359297,ADJ:ADJ,-utki
czasowy,czasownik,0.20695720790369898,ADJ:N,-nik
kierować,kierownik,0.14480598103127373,V:N,-nik
kierownik,kierowniczka,0.7169179093943568,N:N,-ka
godny,godność,0.2332980160704763,ADJ:N,-ość
kazać,wskazać,0.38185094335685,V:V,ws-
znaczyć,wyznaczyć,0.15931657392013643,V:V,wy-
trafić,potrafić,0.18908193184987743,V:V,po-
lekarz,lekarstwo,0.22191254182528963,N:N,-stwo
pion,pionek,0.2378015132992084,N:N,-ek
mierzalny,niemierzalny,0.5312342676343771,ADJ:ADJ,nie-
liczba,liczebnik,0.27286155125906253,N:N,-nik
król,królowa,0.6057709294905597,N:N,-owa
car,caryca,0.42958296328911705,N:N,-yca
dostrzec,dostrzegać,0.6819007064455685,V:V,-ać
stary,starość,0.13869770483050248,ADJ:N,-ość
dorosły,dorosłość,0.41113357600669476,N:N,-ość
pełnoletni,pełnoletniość,0.3500917335078677,ADJ:N,-ość
Czech,Czeszka,0.3297220312736844,N:N,-ka
podlać,podlewać,0.6799909502783504,V:V,-wać
koń,konik,0.534929827393444,N:N,-ik
zwierz,zwierzę,0.3762258834619754,N:N,-ę
beton,betonowy,0.5451213538337132,N:ADJ,-owy
wiatr,wietrzyć,0.24974790262770652,N:V,-yć
napowietrzyć,napowietrzać,0.6764139507441784,V:V,-ać
stryj,stryjek,0.4369952465327698,N:N,-ek
zimny,zimno,0.521963401117342,ADJ:ADV,-o
przeziębić,przeziębienie,0.482837692970279,V:N,-enie
puch,puszka,0.1737940802600766,N:N,-ka
ametyst,ametystowy,0.30932156061413363,N:ADJ,-owy
