pivot,derivation,similarity,category,affix
autobiograficzny,autobiograficzność,0.4450219869238248,ADJ:N,-ość
autentyczny,autentycznie,0.5701062937854814,ADJ:ADV,-ie
autentyczny,autentyczność,0.5248274137655184,ADJ:N,-ość
awers,awersowy,0.41910657411179586,N:ADJ,-owy
awersja,awersyjny,0.4114851856199091,N:ADJ,-ny
adoracja,adoracyjny,0.5470590488016803,N:ADJ,-ny
admirał,admirałowa,0.4241050102660948,N:N,-owa
admirał,admirałowy,0.4542527501340672,N:ADJ,-owy
bagatelizować,zbagatelizować,0.8146151396647806,V:V,z-
bagaż,bagażnik,0.5477178629548903,N:N,-nik
bagaż,bagażownia,0.30227452269156574,N:N,-ownia
altówka,altówkowy,0.58082662310157,N:ADJ,-owy
ałun,ałunowy,0.6626756610891021,N:ADJ,-owy
amarant,amarantowy,0.6877491297163819,N:ADJ,-owy
amnestia,amnestionować,0.4670624207020504,N:V,-ować
amnestia,amnestyjny,0.4852312301704932,N:ADJ,-ny
amfilada,amfiladowy,0.7727059230394242,N:ADJ,-owy
alergen,alergenny,0.5945120708472253,N:ADJ,-ny
antyczny,antyczność,0.3725309996474131,ADJ:N,-ość
antyfaszysta,antyfaszystka,0.6663448675394978,N:N,-ka
antykomunista,antykomunistka,0.6017648826963081,N:N,-ka
antena,antenowy,0.40541375176145655,N:ADJ,-owy
aniołek,aniołkowaty,0.4811651975558551,N:ADJ,-owaty
autokefalia,autokefaliczny,0.7403430210513664,N:ADJ,-iczny
autoironia,autoironiczny,0.708254649902189,N:ADJ,-iczny
autokrytyka,autokrytyczny,0.7115872317451064,N:ADJ,-ny
aeroklub,aeroklubowy,0.6402941806637134,N:ADJ,-owy
abisal,abisalny,0.5894946567659397,N:ADJ,-ny
abordaż,abordażowy,0.7373226784515111,N:ADJ,-owy
absolutny,absolutność,0.47291226782557927,ADJ:N,-ość
abulia,abulik,0.47295172405245434,N:N,-ik
adamsyt,adamsytowy,0.695636290246568,N:ADJ,-owy
addukcja,addukcyjny,0.5177570602378022,N:ADJ,-ny
addycja,addycyjny,0.5856924112778984,N:ADJ,-ny
adiutant,adiutantowa,0.5500152088749074,N:N,-owa
adonik,adoniczny,0.5606238762874328,N:ADJ,-ny
adwerbium,adwerbialny,0.5935085060687652,N:ADJ,-alny
adwekcja,adwekcyjny,0.47776287847855026,N:ADJ,-ny
adwerbialny,adwerbializacja,0.6409167464889652,ADJ:N,-izacja
aerofotogrametria,aerofotogrametryczny,0.8314336410448838,N:ADJ,-yczny
aerofotogrametria,aerofotogrametryczny,0.8314336410448838,N:ADJ,-ny
aerograf,aerografia,0.6939827530661815,N:N,-ia
aerologia,aerologiczny,0.7002833515495829,N:ADJ,-iczny
aeromechanika,aeromechaniczny,0.7207634500193959,N:ADJ,-ny
aeronautyka,aeronautyczny,0.6363604675191796,N:ADJ,-ny
aeronawigacja,aeronawigacyjny,0.7164505878900334,N:ADJ,-ny
aerotriangulacja,aerotriangulacyjny,0.8019536387159923,N:ADJ,-ny
afektacja,afektacyjny,0.6306999941229471,N:ADJ,-ny
afera,aferowicz,0.5238234581998606,N:N,-owicz
afera,aferalny,0.5488961962883547,N:ADJ,-alny
afiks,afiksalny,0.5024232858249291,N:ADJ,-alny
afirmacja,afirmacyjny,0.4524958397854051,N:ADJ,-ny
afonia,afoniczny,0.4099962738246512,N:ADJ,-iczny
agalmatolit,agalmatolitowy,0.8167030843855869,N:ADJ,-owy
agarycyna,agarycynowy,0.7630993775993085,N:ADJ,-owy
aglutynacja,aglutynacyjny,0.7067274912727232,N:ADJ,-ny
agnacja,agnacyjny,0.5766897209772879,N:ADJ,-ny
agogika,agogiczny,0.2633292103736993,N:ADJ,-ny
agona,agoniczny,0.535131592405399,N:ADJ,-iczny
agraryzm,agrarysta,0.6973875107189954,N:N,-ysta
agrobiologia,agrobiologiczny,0.8576753980721816,N:ADJ,-iczny
agrochemia,agrochemiczny,0.6630688026767277,N:ADJ,-iczny
agrochemia,agrochemik,0.6859276147648676,N:N,-ik
agroekologia,agroekologiczny,0.789444689828383,N:ADJ,-iczny
agrogeologia,agrogeologiczny,0.813072636813003,N:ADJ,-iczny
agroklimatologia,agroklimatologiczny,0.8656745982896993,N:ADJ,-iczny
agrolotnictwo,agrolotniczy,0.7905633371020567,N:ADJ,-czy
