pivot,derivation,similarity,category,affix
dogmat,dogmatyzm,0.6577747060479686,N:N,-yzm
rurociąg,rurociągowy,0.6203617722494679,N:ADJ,-owy
turbina,turbinowy,0.5512594455895152,N:ADJ,-owy
turbina,turbinka,0.7225945298031671,N:N,-ka
audytor,audytorka,0.5161676858307198,N:N,-ka
audytor,audytorski,0.533440033084617,N:ADJ,-ski
nikotyna,nikotynista,0.5101349292323404,N:N,-ista
inauguracja,inauguracyjny,0.4370947505111593,N:ADJ,-ny
inauguracja,inaugurować,0.3815502357383014,N:V,-ować
półprzewodnik,półprzewodnikowy,0.688356272656388,N:ADJ,-owy
galaretka,galaretkowy,0.5759851141582814,N:ADJ,-owy
inwestor,inwestorka,0.5580404782391134,N:N,-ka
inwestor,inwestorski,0.44081322745969087,N:ADJ,-ski
święty,święto,0.3049439762950873,ADJ:N,-o
klin,klinowy,0.4566456060845343,N:ADJ,-owy
klin,klinowaty,0.4036299855513694,N:ADJ,-owaty
Filipińczyk,Filipinka,0.2633275659378682,N:N,-ka
miasteczko,miasteczkowy,0.553749451174307,N:ADJ,-owy
feminizm,feminista,0.601315552660218,N:N,-ista
jarmuż,jarmużka,0.5305845704349497,N:N,-ka
jarmuż,jarmużowy,0.577969330542858,N:ADJ,-owy
ramadan,ramadanowy,0.6134550500996743,N:ADJ,-owy
połysk,połyskliwy,0.6023749733753501,N:ADJ,-liwy
wypadek,wypadkowy,0.45844388761959465,N:ADJ,-owy
erotyka,erotyczny,0.5290683405390914,N:ADJ,-ny
abrazja,abrazyjny,0.5920171156508687,N:ADJ,-ny
rewaluacja,rewaluacyjny,0.5394370537479427,N:ADJ,-ny
dewaluacja,dewaluacyjny,0.5186400605371907,N:ADJ,-ny
żółtko,żółtkowy,0.5227471201560536,N:ADJ,-owy
rosomak,rosomakowy,0.6087070630783784,N:ADJ,-owy
integracja,integralny,0.2726821886506039,N:ADJ,-alny
Andrzej,Andrzeja,0.5465133363285609,N:N,-a
kwestionariusz,kwestionariuszowy,0.6805623715107755,N:ADJ,-owy
pług,pługowy,0.5448365545294259,N:ADJ,-owy
targ,targowy,0.6294444109882102,N:ADJ,-owy
kocz,koczowy,0.3323127715557048,N:ADJ,-owy
