"category","model","language","type","version","mean_similarity"
"V:ADV","FastText","Polish","Derivation (different category)","Shuffled",0.140653107949382
"V:ADV","FastText","Spanish","Derivation (different category)","Shuffled",0.139527034150198
"V:ADV","Multilingual BERT","Polish","Derivation (different category)","Shuffled",0.8698141
"V:ADV","Multilingual BERT","Spanish","Derivation (different category)","Shuffled",0.869603761931818
"V:ADV","Word2Vec","Polish","Derivation (different category)","Shuffled",0.176706723695114
"V:ADV","Word2Vec","Spanish","Derivation (different category)","Shuffled",0.266008474212488
"V:N","FastText","Polish","Derivation (different category)","Shuffled",0.133033939178309
"V:N","FastText","Spanish","Derivation (different category)","Shuffled",0.134957893843184
"V:N","Multilingual BERT","Polish","Derivation (different category)","Shuffled",0.890712423427507
"V:N","Multilingual BERT","Spanish","Derivation (different category)","Shuffled",0.894861004321024
"V:N","Word2Vec","Polish","Derivation (different category)","Shuffled",0.136370827679226
"V:N","Word2Vec","Spanish","Derivation (different category)","Shuffled",0.215329701622607
"V:V","FastText","Polish","Derivation (same category)","Shuffled",0.16472408720874
"V:V","FastText","Spanish","Derivation (same category)","Shuffled",0.160090436340906
"V:V","Multilingual BERT","Polish","Derivation (same category)","Shuffled",0.88681415492552
"V:V","Multilingual BERT","Spanish","Derivation (same category)","Shuffled",0.899595473284314
"V:V","Word2Vec","Polish","Derivation (same category)","Shuffled",0.166856628478919
"V:V","Word2Vec","Spanish","Derivation (same category)","Shuffled",0.237501488194107
"V;FUT;1;PL","FastText","Polish","Inflection","Shuffled",0.194102507166388
"V;FUT;1;PL","Multilingual BERT","Polish","Inflection","Shuffled",0.867761329952607
"V;FUT;1;PL","Word2Vec","Polish","Inflection","Shuffled",0.197212299537872
"V;FUT;1;PL;MASC;HUM","FastText","Polish","Inflection","Shuffled",0.188030558224803
"V;FUT;1;PL;MASC;HUM","Multilingual BERT","Polish","Inflection","Shuffled",0.85860214406518
"V;FUT;1;SG","FastText","Polish","Inflection","Shuffled",0.194123289477358
"V;FUT;1;SG","Multilingual BERT","Polish","Inflection","Shuffled",0.902364874942529
"V;FUT;1;SG","Word2Vec","Polish","Inflection","Shuffled",0.205698215599449
"V;FUT;1;SG;FEM","FastText","Polish","Inflection","Shuffled",0.239117212069557
"V;FUT;1;SG;FEM","Multilingual BERT","Polish","Inflection","Shuffled",0.871814662675815
"V;FUT;1;SG;MASC","FastText","Polish","Inflection","Shuffled",0.240086992974262
"V;FUT;1;SG;MASC","Multilingual BERT","Polish","Inflection","Shuffled",0.878255783396226
"V;FUT;2;PL","FastText","Polish","Inflection","Shuffled",0.207318906793508
"V;FUT;2;PL","Multilingual BERT","Polish","Inflection","Shuffled",0.88272084535545
"V;FUT;2;PL","Word2Vec","Polish","Inflection","Shuffled",0.224521976582066
"V;FUT;2;PL;MASC;HUM","FastText","Polish","Inflection","Shuffled",0.209096871984368
"V;FUT;2;PL;MASC;HUM","Multilingual BERT","Polish","Inflection","Shuffled",0.879094124219554
"V;FUT;2;SG","FastText","Polish","Inflection","Shuffled",0.197603106860803
"V;FUT;2;SG","Multilingual BERT","Polish","Inflection","Shuffled",0.904863935632184
"V;FUT;2;SG","Word2Vec","Polish","Inflection","Shuffled",0.216490888124934
"V;FUT;2;SG;FEM","FastText","Polish","Inflection","Shuffled",0.219622458738291
"V;FUT;2;SG;FEM","Multilingual BERT","Polish","Inflection","Shuffled",0.864044923310463
"V;FUT;2;SG;MASC","FastText","Polish","Inflection","Shuffled",0.210257316318097
"V;FUT;2;SG;MASC","Multilingual BERT","Polish","Inflection","Shuffled",0.869487978730703
"V;FUT;3;PL","FastText","Polish","Inflection","Shuffled",0.222131007772588
"V;FUT;3;PL","Multilingual BERT","Polish","Inflection","Shuffled",0.880890315971564
"V;FUT;3;PL","Word2Vec","Polish","Inflection","Shuffled",0.200505386320148
"V;FUT;3;PL;MASC;HUM","FastText","Polish","Inflection","Shuffled",0.224963274069482
"V;FUT;3;PL;MASC;HUM","Multilingual BERT","Polish","Inflection","Shuffled",0.876116050085763
"V;FUT;3;SG","FastText","Polish","Inflection","Shuffled",0.18079308099623
"V;FUT;3;SG","Multilingual BERT","Polish","Inflection","Shuffled",0.896167735172414
"V;FUT;3;SG","Word2Vec","Polish","Inflection","Shuffled",0.173866840639907
"V;FUT;3;SG;FEM","FastText","Polish","Inflection","Shuffled",0.222377572020115
"V;FUT;3;SG;FEM","Multilingual BERT","Polish","Inflection","Shuffled",0.846138288439108
"V;FUT;3;SG;MASC","FastText","Polish","Inflection","Shuffled",0.220780930745122
"V;FUT;3;SG;MASC","Multilingual BERT","Polish","Inflection","Shuffled",0.848394487650086
"V;FUT;3;SG;NEUT","FastText","Polish","Inflection","Shuffled",0.210050724941207
"V;FUT;3;SG;NEUT","Multilingual BERT","Polish","Inflection","Shuffled",0.850951317598628
"V;IND;FUT;1;PL","FastText","Spanish","Inflection","Shuffled",0.209901369554902
"V;IND;FUT;1;PL","Multilingual BERT","Spanish","Inflection","Shuffled",0.910941760400119
"V;IND;FUT;1;PL","Word2Vec","Spanish","Inflection","Shuffled",0.325257335613614
"V;IND;FUT;1;SG","FastText","Spanish","Inflection","Shuffled",0.201342728904962
"V;IND;FUT;1;SG","Multilingual BERT","Spanish","Inflection","Shuffled",0.91475941231593
"V;IND;FUT;1;SG","Word2Vec","Spanish","Inflection","Shuffled",0.357811095619773
"V;IND;FUT;2;PL","FastText","Spanish","Inflection","Shuffled",0.190335397597695
"V;IND;FUT;2;PL","Multilingual BERT","Spanish","Inflection","Shuffled",0.905470197774803
"V;IND;FUT;2;PL","Word2Vec","Spanish","Inflection","Shuffled",0.394724372875421
"V;IND;FUT;2;SG;INFM","FastText","Spanish","Inflection","Shuffled",0.192163297036173
"V;IND;FUT;2;SG;INFM","Multilingual BERT","Spanish","Inflection","Shuffled",0.920849653510338
"V;IND;FUT;2;SG;INFM","Word2Vec","Spanish","Inflection","Shuffled",0.38136968942707
"V;IND;FUT;3;PL","FastText","Spanish","Inflection","Shuffled",0.187822728809349
"V;IND;FUT;3;PL","Multilingual BERT","Spanish","Inflection","Shuffled",0.918694653106984
"V;IND;FUT;3;PL","Word2Vec","Spanish","Inflection","Shuffled",0.288092596305173
"V;IND;FUT;3;SG","FastText","Spanish","Inflection","Shuffled",0.176545448767528
"V;IND;FUT;3;SG","Multilingual BERT","Spanish","Inflection","Shuffled",0.916854945885672
"V;IND;FUT;3;SG","Word2Vec","Spanish","Inflection","Shuffled",0.289665885394884
"V;IND;PRS;1;PL","FastText","Spanish","Inflection","Shuffled",0.19218985086001
"V;IND;PRS;1;PL","Multilingual BERT","Spanish","Inflection","Shuffled",0.910396391760679
"V;IND;PRS;1;PL","Word2Vec","Spanish","Inflection","Shuffled",0.330433991834497
"V;IND;PRS;1;SG","FastText","Spanish","Inflection","Shuffled",0.165541621840616
"V;IND;PRS;1;SG","Multilingual BERT","Spanish","Inflection","Shuffled",0.914599381078359
"V;IND;PRS;1;SG","Word2Vec","Spanish","Inflection","Shuffled",0.286351248025633
"V;IND;PRS;2;PL","FastText","Spanish","Inflection","Shuffled",0.192577824025787
"V;IND;PRS;2;PL","Multilingual BERT","Spanish","Inflection","Shuffled",0.89567256363549
"V;IND;PRS;2;PL","Word2Vec","Spanish","Inflection","Shuffled",0.404820981375747
"V;IND;PRS;2;SG;INFM","FastText","Spanish","Inflection","Shuffled",0.170542106367639
"V;IND;PRS;2;SG;INFM","Multilingual BERT","Spanish","Inflection","Shuffled",0.905551120154188
"V;IND;PRS;2;SG;INFM","Word2Vec","Spanish","Inflection","Shuffled",0.293625096948738
"V;IND;PRS;3;PL","FastText","Spanish","Inflection","Shuffled",0.166420401127376
"V;IND;PRS;3;PL","Multilingual BERT","Spanish","Inflection","Shuffled",0.916760181680498
"V;IND;PRS;3;PL","Word2Vec","Spanish","Inflection","Shuffled",0.286712596864047
"V;IND;PRS;3;SG","FastText","Spanish","Inflection","Shuffled",0.148775140859992
"V;IND;PRS;3;SG","Multilingual BERT","Spanish","Inflection","Shuffled",0.90543703112674
"V;IND;PRS;3;SG","Word2Vec","Spanish","Inflection","Shuffled",0.270751671323148
"V;IND;PST;IPFV;1;PL","FastText","Spanish","Inflection","Shuffled",0.191643651006561
"V;IND;PST;IPFV;1;PL","Multilingual BERT","Spanish","Inflection","Shuffled",0.904397360025301
"V;IND;PST;IPFV;1;PL","Word2Vec","Spanish","Inflection","Shuffled",0.387990174050324
"V;IND;PST;IPFV;1;SG","FastText","Spanish","Inflection","Shuffled",0.162039869215996
"V;IND;PST;IPFV;1;SG","Multilingual BERT","Spanish","Inflection","Shuffled",0.910536007289775
"V;IND;PST;IPFV;1;SG","Word2Vec","Spanish","Inflection","Shuffled",0.303837874455879
"V;IND;PST;IPFV;2;PL","FastText","Spanish","Inflection","Shuffled",0.191011643091463
"V;IND;PST;IPFV;2;PL","Multilingual BERT","Spanish","Inflection","Shuffled",0.904760744134544
"V;IND;PST;IPFV;2;PL","Word2Vec","Spanish","Inflection","Shuffled",0.38576433097254
"V;IND;PST;IPFV;2;SG;INFM","FastText","Spanish","Inflection","Shuffled",0.191577316671312
"V;IND;PST;IPFV;2;SG;INFM","Multilingual BERT","Spanish","Inflection","Shuffled",0.912618867627623
"V;IND;PST;IPFV;2;SG;INFM","Word2Vec","Spanish","Inflection","Shuffled",0.395677074234713
"V;IND;PST;IPFV;3;PL","FastText","Spanish","Inflection","Shuffled",0.172181943858034
"V;IND;PST;IPFV;3;PL","Multilingual BERT","Spanish","Inflection","Shuffled",0.912894151611656
"V;IND;PST;IPFV;3;PL","Word2Vec","Spanish","Inflection","Shuffled",0.302117472886286
"V;IND;PST;IPFV;3;SG","FastText","Spanish","Inflection","Shuffled",0.162346827837787
"V;IND;PST;IPFV;3;SG","Multilingual BERT","Spanish","Inflection","Shuffled",0.911062227686822
"V;IND;PST;IPFV;3;SG","Word2Vec","Spanish","Inflection","Shuffled",0.302761906229682
"V;PRS;1;PL","FastText","Polish","Inflection","Shuffled",0.189070727932215
"V;PRS;1;PL","Multilingual BERT","Polish","Inflection","Shuffled",0.898261267581475
"V;PRS;1;PL","Word2Vec","Polish","Inflection","Shuffled",0.180593405518931
"V;PRS;1;SG","FastText","Polish","Inflection","Shuffled",0.183224275568019
"V;PRS;1;SG","Multilingual BERT","Polish","Inflection","Shuffled",0.902087795591767
"V;PRS;1;SG","Word2Vec","Polish","Inflection","Shuffled",0.192497442535987
"V;PRS;2;PL","FastText","Polish","Inflection","Shuffled",0.194616736796511
"V;PRS;2;PL","Multilingual BERT","Polish","Inflection","Shuffled",0.896770330188679
"V;PRS;2;PL","Word2Vec","Polish","Inflection","Shuffled",0.212912470365671
"V;PRS;2;SG","FastText","Polish","Inflection","Shuffled",0.184866481344118
"V;PRS;2;SG","Multilingual BERT","Polish","Inflection","Shuffled",0.905253616415094
"V;PRS;2;SG","Word2Vec","Polish","Inflection","Shuffled",0.201496165334119
"V;PRS;3;PL","FastText","Polish","Inflection","Shuffled",0.191566714874487
"V;PRS;3;PL","Multilingual BERT","Polish","Inflection","Shuffled",0.89877066
"V;PRS;3;PL","Word2Vec","Polish","Inflection","Shuffled",0.175914680847415
"V;PRS;3;SG","FastText","Polish","Inflection","Shuffled",0.168665904630228
"V;PRS;3;SG","Multilingual BERT","Polish","Inflection","Shuffled",0.891632357238422
"V;PRS;3;SG","Word2Vec","Polish","Inflection","Shuffled",0.153635980007186
"V;PST;1;PL","FastText","Polish","Inflection","Shuffled",0.203686379457805
"V;PST;1;PL","Multilingual BERT","Polish","Inflection","Shuffled",0.871638815758294
"V;PST;1;PL;MASC;HUM","FastText","Polish","Inflection","Shuffled",0.194153817615347
"V;PST;1;PL;MASC;HUM","Multilingual BERT","Polish","Inflection","Shuffled",0.881639423921801
"V;PST;1;SG;FEM","FastText","Polish","Inflection","Shuffled",0.190911486666033
"V;PST;1;SG;FEM","Multilingual BERT","Polish","Inflection","Shuffled",0.900312250177725
"V;PST;1;SG;FEM","Word2Vec","Polish","Inflection","Shuffled",0.136088947866426
"V;PST;1;SG;MASC","FastText","Polish","Inflection","Shuffled",0.19703144987338
"V;PST;1;SG;MASC","Multilingual BERT","Polish","Inflection","Shuffled",0.894060918625592
"V;PST;1;SG;MASC","Word2Vec","Polish","Inflection","Shuffled",0.275831920401676
"V;PST;2;PL","FastText","Polish","Inflection","Shuffled",0.194091530109628
"V;PST;2;PL","Multilingual BERT","Polish","Inflection","Shuffled",0.884545094253555
