"category","model","language","type","version","mean_similarity"
"V:ADV","Word2Vec","Polish","Derivation (different category)","Clean",0.0984922968454972
"V:ADV","Word2Vec","Spanish","Derivation (different category)","Clean",0.451748896630725
"V:N","FastText","Polish","Derivation (different category)","Clean",0.517517345392665
"V:N","FastText","Spanish","Derivation (different category)","Clean",0.52365484992467
"V:N","Multilingual BERT","Polish","Derivation (different category)","Clean",0.928952951968666
"V:N","Multilingual BERT","Spanish","Derivation (different category)","Clean",0.939328481177668
"V:N","Word2Vec","Polish","Derivation (different category)","Clean",0.406846706705402
"V:N","Word2Vec","Spanish","Derivation (different category)","Clean",0.521615750971273
"V:V","FastText","Polish","Derivation (same category)","Clean",0.63317150226551
"V:V","FastText","Spanish","Derivation (same category)","Clean",0.558418723853814
"V:V","Multilingual BERT","Polish","Derivation (same category)","Clean",0.947752853478474
"V:V","Multilingual BERT","Spanish","Derivation (same category)","Clean",0.93429577369281
"V:V","Word2Vec","Polish","Derivation (same category)","Clean",0.495391155381311
"V:V","Word2Vec","Spanish","Derivation (same category)","Clean",0.494298187744842
"V;FUT;1;PL","FastText","Polish","Inflection","Clean",0.398337111240907
"V;FUT;1;PL","Multilingual BERT","Polish","Inflection","Clean",0.889482081540284
"V;FUT;1;PL","Word2Vec","Polish","Inflection","Clean",0.514884262928568
"V;FUT;1;PL;MASC;HUM","FastText","Polish","Inflection","Clean",0.315118686553865
"V;FUT;1;PL;MASC;HUM","Multilingual BERT","Polish","Inflection","Clean",0.881261007358491
"V;FUT;1;SG","FastText","Polish","Inflection","Clean",0.58788206694772
"V;FUT;1;SG","Multilingual BERT","Polish","Inflection","Clean",0.934295218429119
"V;FUT;1;SG","Word2Vec","Polish","Inflection","Clean",0.496317661994394
"V;FUT;1;SG;FEM","FastText","Polish","Inflection","Clean",0.394427481020681
"V;FUT;1;SG;FEM","Multilingual BERT","Polish","Inflection","Clean",0.892459305746141
"V;FUT;1;SG;MASC","FastText","Polish","Inflection","Clean",0.392737354509109
"V;FUT;1;SG;MASC","Multilingual BERT","Polish","Inflection","Clean",0.898061622315609
"V;FUT;2;PL","FastText","Polish","Inflection","Clean",0.398370574056469
"V;FUT;2;PL","Multilingual BERT","Polish","Inflection","Clean",0.906779043376777
"V;FUT;2;PL","Word2Vec","Polish","Inflection","Clean",0.436020039553259
"V;FUT;2;PL;MASC;HUM","FastText","Polish","Inflection","Clean",0.33785148128271
"V;FUT;2;PL;MASC;HUM","Multilingual BERT","Polish","Inflection","Clean",0.901820035986278
"V;FUT;2;SG","FastText","Polish","Inflection","Clean",0.569650261393184
"V;FUT;2;SG","Multilingual BERT","Polish","Inflection","Clean",0.927111172030651
"V;FUT;2;SG","Word2Vec","Polish","Inflection","Clean",0.481423575326719
"V;FUT;2;SG;FEM","FastText","Polish","Inflection","Clean",0.352985968032474
"V;FUT;2;SG;FEM","Multilingual BERT","Polish","Inflection","Clean",0.886196030789022
"V;FUT;2;SG;MASC","FastText","Polish","Inflection","Clean",0.353644281868525
"V;FUT;2;SG;MASC","Multilingual BERT","Polish","Inflection","Clean",0.890053495403087
"V;FUT;3;PL","FastText","Polish","Inflection","Clean",0.439590370318081
"V;FUT;3;PL","Multilingual BERT","Polish","Inflection","Clean",0.905696954810427
"V;FUT;3;PL","Word2Vec","Polish","Inflection","Clean",0.524503143646952
"V;FUT;3;PL;MASC;HUM","FastText","Polish","Inflection","Clean",0.365534394594826
"V;FUT;3;PL;MASC;HUM","Multilingual BERT","Polish","Inflection","Clean",0.899163456998285
"V;FUT;3;SG","FastText","Polish","Inflection","Clean",0.634816037858959
"V;FUT;3;SG","Multilingual BERT","Polish","Inflection","Clean",0.934708776934866
"V;FUT;3;SG","Word2Vec","Polish","Inflection","Clean",0.556932142330453
"V;FUT;3;SG;FEM","FastText","Polish","Inflection","Clean",0.3565037352055
"V;FUT;3;SG;FEM","Multilingual BERT","Polish","Inflection","Clean",0.864423448507719
"V;FUT;3;SG;MASC","FastText","Polish","Inflection","Clean",0.36234299971789
"V;FUT;3;SG;MASC","Multilingual BERT","Polish","Inflection","Clean",0.868490150823328
"V;FUT;3;SG;NEUT","FastText","Polish","Inflection","Clean",0.348988779537167
"V;FUT;3;SG;NEUT","Multilingual BERT","Polish","Inflection","Clean",0.872707367958834
"V;IND;FUT;1;PL","FastText","Spanish","Inflection","Clean",0.56950005440752
"V;IND;FUT;1;PL","Multilingual BERT","Spanish","Inflection","Clean",0.949860063427042
"V;IND;FUT;1;PL","Word2Vec","Spanish","Inflection","Clean",0.479447101055511
"V;IND;FUT;1;SG","FastText","Spanish","Inflection","Clean",0.571788011966874
"V;IND;FUT;1;SG","Multilingual BERT","Spanish","Inflection","Clean",0.958154925490109
"V;IND;FUT;1;SG","Word2Vec","Spanish","Inflection","Clean",0.446006869375847
"V;IND;FUT;2;PL","FastText","Spanish","Inflection","Clean",0.502139788789894
"V;IND;FUT;2;PL","Multilingual BERT","Spanish","Inflection","Clean",0.941609871070951
"V;IND;FUT;2;PL","Word2Vec","Spanish","Inflection","Clean",0.417977793871325
"V;IND;FUT;2;SG;INFM","FastText","Spanish","Inflection","Clean",0.527942024172588
